Chocolate Milk,,,*No 6 Hour,"** Four extra Isloates ran:
 AF 5 Hi, AF 8 Hi, BL 1 and BL 2",,
Bac,Reps,,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions
Geo 1,A,12 Hours,>300,293,274,274000
Geo 1,B,12 Hours,>300,109,136,136000
Geo 1,C,12 Hours,>300,311,297,297000
Geo 1,D,12 Hours,>300,571,418,418000
Geo 1,E,12 Hours,>300,223,240,240000
Geo 2,A,12 Hours,>300,699,1291,1291000
Geo 2,B,12 Hours,>300,3618,4363,4363000
Geo 2,C,12 Hours,>300,4864,6082,6082000
Geo 2,D,12 Hours,>300,1687,2279,2279000
Geo 2,E,12 Hours,>300,1679,2253,2253000
Geo 3,A,12 Hours,>300,15028,41073,41073000
Geo 3,B,12 Hours,>300,15548,33359,33359000
Geo 3,C,12 Hours,>300,15282,40642,40642000
Geo 3,D,12 Hours,>300,16850,45378,45378000
Geo 3,E,12 Hours,>300,15533,40164,40164000
Geo 4,A,12 Hours,>300,101,160,160000
Geo 4,B,12 Hours,35600,130,168,168000
Geo 4,C,12 Hours,15700,128,184,184000
Geo 4,D,12 Hours,24400,104,154,154000
Geo 4,E,12 Hours,39000,102,170,170000
AF 5,A,12 Hours,>300,112,75,75000
AF 5,B,12 Hours,>300,129,144,144000
AF 5,C,12 Hours,>300,162,102,102000
AF 5,D,12 Hours,>300,156,197,197000
AF 5,E,12 Hours,>300,107,170,170000
AF 6,A,12 Hours,>300,853,1501,1501000
AF 6,B,12 Hours,>300,646,1413,1413000
AF 6,C,12 Hours,>300,711,9015,9015000
AF 6,D,12 Hours,>300,1326,1920,1920000
AF 6,E,12 Hours,>300,1113,2379,2379000
AF 7,A,12 Hours,25700,14,33,33000
AF 7,B,12 Hours,13400,7,24,24000
AF 7,C,12 Hours,27300,17,39,39000
AF 7,D,12 Hours,23900,17,23,23000
AF 7,E,12 Hours,30700,17,40,40000
AF 8,A,12 Hours,>300,47,35,35000
AF 8,B,12 Hours,>300,56,33,33000
AF 8,C,12 Hours,>300,50,29,29000
AF 8,D,12 Hours,>300,51,23,23000
AF 8,E,12 Hours,>300,46,29,29000
BL 1,A,12 Hours,>300,14680,35926,35926000
BL 1,B,12 Hours,>300,13855,33825,33825000
BL 1,C,12 Hours,>300,14350,47409,47409000
BL 1,D,12 Hours,>300,14084,45725,45725000
BL 1,E,12 Hours,>300,14461,45361,45361000
BL 2,A,12 Hours,>300,23205,29633,29633000
BL 2,B,12 Hours,>300,18561,38912,38912000
BL 2,C,12 Hours,>300,19091,32274,32274000
BL 2,D,12 Hours,>300,14013,42155,42155000
BL 2,E,12 Hours,>300,17185,47976,47976000
AF 5 Hi,A,12 Hours,>300,112,299,299000
AF 5 Hi,B,12 Hours,>300,129,302,302000
AF 5 Hi,C,12 Hours,>300,162,350,350000
AF 5 Hi,D,12 Hours,>300,156,437,437000
AF 5 Hi,E,12 Hours,>300,107,267,267000
AF 8 Hi,A,12 Hours,>300,47,98,98000
AF 8 Hi,B,12 Hours,>300,56,116,116000
AF 8 Hi,C,12 Hours,>300,50,163,163000
AF 8 Hi,D,12 Hours,>300,51,140,140000
AF 8 Hi,E,12 Hours,>300,46,127,127000
Geo 1,Blank,12 Hours,0,2,11,11000
Geo 2,Blank,12 Hours,0,3,14,14000
Geo 3,Blank,12 Hours,0,2,15,15000
Geo 4,Blank,12 Hours,0,3,13,13000
AF 5,Blank,12 Hours,0,2,7,7000
AF 6,Blank,12 Hours,0,3,13,13000
AF 7,Blank,12 Hours,0,3,9,9000
AF 8,Blank,12 Hours,0,2,16,16000
BL 1,Blank,12 Hours,0,2,13,13000
BL 2,Blank,12 Hours,0,3,22,22000
AF 5 Hi,Blank,12 Hours,0,2,0,0
AF 8 Hi,Blank,12 Hours,0,2,23,23000
Geo 1,A,24 Hours,>300,4440,36544,36544000
Geo 1,B,24 Hours,>300,4360,28887,28887000
Geo 1,C,24 Hours,>300,9864,73732,73732000
Geo 1,D,24 Hours,>300,7913,44246,44246000
Geo 1,E,24 Hours,>300,15262,43172,43172000
Geo 2,A,24 Hours,>300,4272,110258,110258000
Geo 2,B,24 Hours,>300,2211,52435,52435000
Geo 2,C,24 Hours,>300,3649,102866,102866000
Geo 2,D,24 Hours,>300,2137,61482,61482000
Geo 2,E,24 Hours,>300,14451,103173,103173000
Geo 3,A,24 Hours,>300,470,28735,28735000
Geo 3,B,24 Hours,>300,739,27327,27327000
Geo 3,C,24 Hours,>300,610,29381,29381000
Geo 3,D,24 Hours,>300,663,31619,31619000
Geo 3,E,24 Hours,>300,1082,27185,27185000
Geo 4,A,24 Hours,>300,18339,42073,42073000
Geo 4,B,24 Hours,>300,22743,40450,40450000
Geo 4,C,24 Hours,>300,20615,40552,40552000
Geo 4,D,24 Hours,>300,22561,41595,41595000
Geo 4,E,24 Hours,>300,16751,38173,38173000
AF 5 Hi,A,24 Hours,>300,1470,1778,1778000
AF 5 Hi,B,24 Hours,>300,521,1336,1336000
AF 5 Hi,C,24 Hours,>300,1002,2103,2103000
AF 5 Hi,D,24 Hours,>300,1015,1843,1843000
AF 5 Hi,E,24 Hours,>300,859,2247,2247000
AF 5,A,24 Hours,>300,278,519,519000
AF 5,B,24 Hours,>300,306,651,651000
AF 5,C,24 Hours,>300,1145,1463,1463000
AF 5,D,24 Hours,>300,392,850,850000
AF 5,E,24 Hours,>300,1454,2657,2657000
AF 6,A,24 Hours,>300,8365,22555,22555000
AF 6,B,24 Hours,>300,7227,24910,24910000
AF 6,C,24 Hours,>300,5791,22489,22489000
AF 6,D,24 Hours,>300,11101,39871,39871000
AF 6,E,24 Hours,>300,6493,22309,22309000
AF 7,A,24 Hours,>300,45,96,96000
AF 7,B,24 Hours,>300,86,174,174000
AF 7,C,24 Hours,>300,61,126,126000
AF 7,D,24 Hours,>300,64,136,136000
AF 7,E,24 Hours,>300,84,160,160000
AF 8,A,24 Hours,>300,39,76,76000
AF 8,B,24 Hours,>300,52,105,105000
AF 8,C,24 Hours,>300,1405,1092,1092000
AF 8,D,24 Hours,>300,961,667,667000
AF 8,E,24 Hours,>300,45,63,63000
AF 8 Hi,A,24 Hours,>300,4458,6236,6236000
AF 8 Hi,B,24 Hours,>300,4817,6295,6295000
AF 8 Hi,C,24 Hours,>300,859,1234,1234000
AF 8 Hi,D,24 Hours,>300,786,1635,1635000
AF 8 Hi,E,24 Hours,>300,3121,3426,3426000
BL 1,A,24 Hours,>300,17243,52554,52554000
BL 1,B,24 Hours,>300,9030,29507,29507000
BL 1,C,24 Hours,>300,10962,38243,38243000
BL 1,D,24 Hours,>300,9978,37301,37301000
BL 1,E,24 Hours,>300,10911,30011,30011000
