Cream ,(In House Cream),,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilution
Geo 1,A,6 Hours,300,2,4,4000
Geo 1,B,6 Hours,300,2,4,4000
Geo 1,C,6 Hours,300,3,1,1000
Geo 1,D,6 Hours,400,2,4,4000
Geo 1,E,6 Hours,210,2,2,2000
Geo 2,A,6 Hours,0,1,6,6000
Geo 2,B,6 Hours,0,1,10,10000
Geo 2,C,6 Hours,0,1,4,4000
Geo 2,D,6 Hours,0,1,23,23000
Geo 2,E,6 Hours,0,1,12,12000
Geo 3,A,6 Hours,3000,3,10,10000
Geo 3,B,6 Hours,1500,2,3,3000
Geo 3,C,6 Hours,3000,2,21,21000
Geo 3,D,6 Hours,3000,3,27,27000
Geo 3,E,6 Hours,0,2,15,15000
Geo 4,A,6 Hours,0,2,26,26000
Geo 4,B,6 Hours,0,2,16,16000
Geo 4,C,6 Hours,0,1,74,74000
Geo 4,D,6 Hours,0,4,18,18000
Geo 4,E,6 Hours,0,3,33,33000
AF 5,A,6 Hours,100,2,22,22000
AF 5,B,6 Hours,100,3,10,10000
AF 5,C,6 Hours,100,4,17,17000
AF 5,D,6 Hours,100,2,18,18000
AF 5,E,6 Hours,0,2,22,22000
AF 6,A,6 Hours,1100,2,40,40000
AF 6,B,6 Hours,4400,2,35,35000
AF 6,C,6 Hours,900,4,18,18000
AF 6,D,6 Hours,700,2,26,26000
AF 6,E,6 Hours,1600,2,38,38000
AF 7,A,6 Hours,2700,5,15,15000
AF 7,B,6 Hours,3100,3,34,34000
AF 7,C,6 Hours,1400,3,19,19000
AF 7,D,6 Hours,1200,3,32,32000
AF 7,E,6 Hours,1100,3,20,20000
AF 8,A,6 Hours,780,4,92,92000
AF 8,B,6 Hours,550,5,31,31000
AF 8,C,6 Hours,1050,6,42,42000
AF 8,D,6 Hours,1330,5,36,36000
AF 8,E,6 Hours,750,5,26,26000
Geo 1,Blank,6 Hours,0,3,1,1000
Geo 2,Blank,6 Hours,0,1,6,6000
Geo 3,Blank,6 Hours,0,2,0,0
Geo 4,Blank,6 Hours,0,2,13,13000
AF 5,Blank,6 Hours,0,2,23,23000
AF 6,Blank,6 Hours,0,3,18,18000
AF 7,Blank,6 Hours,0,3,21,21000
AF 8,Blank,6 Hours,0,5,10,10000
Geo 1,A,12 Hours,3000,9,47,47000
Geo 1,B,12 Hours,3000,3,31,31000
Geo 1,C,12 Hours,3000,8,59,59000
Geo 1,D,12 Hours,3000,8,24,24000
Geo 1,E,12 Hours,3000,5,39,39000
Geo 2,A,12 Hours,1500,1,40,40000
Geo 2,B,12 Hours,1000,1,24,24000
Geo 2,C,12 Hours,1500,4,55,55000
Geo 2,D,12 Hours,1500,1,11,11000
