Beverage,,,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions 
Geo 1,A,6 Hours,0,8,2,2000
Geo 1,B,6 Hours,15,13,1,1000
Geo 1,C,6 Hours,5,14,2,2000
Geo 1,D,6 Hours,3,11,0,0
Geo 1,E,6 Hours,6,12,2,2000
Geo 2,A,6 Hours,0,7,6,6000
Geo 2,B,6 Hours,0,9,9,9000
Geo 2,C,6 Hours,0,8,7,7000
Geo 2,D,6 Hours,0,4,4,4000
Geo 2,E,6 Hours,0,7,1,1000
Geo 3,A,6 Hours,0,13,2,2000
Geo 3,B,6 Hours,2,6,4,4000
Geo 3,C,6 Hours,2,6,4,4000
Geo 3,D,6 Hours,2,6,2,2000
Geo 3,E,6 Hours,0,7,3,3000
Geo 4,A,6 Hours,0,7,0,0
Geo 4,B,6 Hours,0,8,0,0
Geo 4,C,6 Hours,0,7,1,1000
Geo 4,D,6 Hours,0,9,0,0
Geo 4,E,6 Hours,0,8,0,0
AF 5,A,6 Hours,0,6,0,0
AF 5,B,6 Hours,0,8,0,0
AF 5,C,6 Hours,0,7,0,0
AF 5,D,6 Hours,0,8,0,0
AF 5,E,6 Hours,0,9,0,0
AF 6,A,6 Hours,0,12,0,0
AF 6,B,6 Hours,10,16,4,4000
AF 6,C,6 Hours,6,9,2,2000
AF 6,D,6 Hours,4,10,3,3000
AF 6,E,6 Hours,7,10,2,2000
AF 7,A,6 Hours,0,7,0,0
AF 7,B,6 Hours,0,9,0,0
AF 7,C,6 Hours,0,7,1,1000
AF 7,D,6 Hours,0,11,3,3000
AF 7,E,6 Hours,0,9,18,18000
AF 8,A,6 Hours,570,10,0,0
AF 8,B,6 Hours,100,6,0,0
AF 8,C,6 Hours,270,7,0,0
AF 8,D,6 Hours,250,8,0,0
AF 8,E,6 Hours,260,6,4,4000
Geo 1,Blank,6 Hours,0,7,0,0
Geo 2,Blank,6 Hours,0,6,6,6000
Geo 3,Blank,6 Hours,0,8,0,0
Geo 4,Blank,6 Hours,0,7,0,0
AF 5,Blank,6 Hours,0,16,0,0
AF 6,Blank,6 Hours,0,15,2,2000
AF 7,Blank,6 Hours,0,13,0,0
AF 8,Blank,6 Hours,0,7,0,0
Geo 1,A,12 Hours,18500,32,23,23000
Geo 1,B,12 Hours,900,38,12,12000
Geo 1,C,12 Hours,7800,24,6,6000
Geo 1,D,12 Hours,3500,42,31,31000
Geo 1,E,12 Hours,2600,44,19,19000
Geo 2,A,12 Hours,0,10,5,5000
Geo 2,B,12 Hours,1,10,8,8000
Geo 2,C,12 Hours,1,13,11,11000
Geo 2,D,12 Hours,3,18,14,14000
Geo 2,E,12 Hours,1,15,10,10000
Geo 3,A,12 Hours,3300,13,2,2000
Geo 3,B,12 Hours,700,8,1,1000
Geo 3,C,12 Hours,10100,27,8,8000
Geo 3,D,12 Hours,4900,16,4,4000
Geo 3,E,12 Hours,10200,18,4,4000
Geo 4,A,12 Hours,0,16,0,0
Geo 4,B,12 Hours,0,22,0,0
Geo 4,C,12 Hours,0,21,0,0
Geo 4,D,12 Hours,0,15,0,0
Geo 4,E,12 Hours,0,18,2,2000
AF 5,A,12 Hours,2,8,1,1000
AF 5,B,12 Hours,4,7,1,1000
AF 5,C,12 Hours,2,8,1,1000
AF 5,D,12 Hours,7,7,1,1000
AF 5,E,12 Hours,8100,15,12,12000
AF 6,A,12 Hours,540,12,6,6000
AF 6,B,12 Hours,1120,10,2,2000
AF 6,C,12 Hours,1200,14,5,5000
AF 6,D,12 Hours,340,12,1,1000
AF 6,E,12 Hours,940,12,4,4000
AF 7,A,12 Hours,0,14,1,1000
AF 7,B,12 Hours,0,12,0,0
AF 7,C,12 Hours,0,10,2,2000
AF 7,D,12 Hours,0,10,0,0
AF 7,E,12 Hours,0,10,1,1000
AF 8,A,12 Hours,30000,2362,2,2000
AF 8,B,12 Hours,30000,2597,0,0
AF 8,C,12 Hours,30000,3297,0,0
AF 8,D,12 Hours,30000,4172,0,0
AF 8,E,12 Hours,30000,3878,1,1000
Geo 1,Blank,12 Hours,0,10,4,4000
Geo 2,Blank,12 Hours,0,10,7,7000
Geo 3,Blank,12 Hours,0,9,0,0
Geo 4,Blank,12 Hours,0,13,0,0
AF 5,Blank,12 Hours,0,7,3,3000
AF 6,Blank,12 Hours,0,11,7,7000
AF 7,Blank,12 Hours,0,11,0,0
AF 8,Blank,12 Hours,0,6,2,2000
Geo 1,A,24 Hours,100000,28088,35817,35817000
Geo 1,B,24 Hours,100000,39378,42496,42496000
Geo 1,C,24 Hours,100000,47094,41154,41154000
Geo 1,D,24 Hours,100000,28225,42852,42852000
Geo 1,E,24 Hours,100000,36555,35871,35871000
Geo 2,A,24 Hours,0,11,4,4000
Geo 2,B,24 Hours,30000,13875,4754,4754000
Geo 2,C,24 Hours,30000,16020,5981,5981000
Geo 2,D,24 Hours,30000,15858,5807,5807000
Geo 2,E,24 Hours,11200,16329,5578,5578000
Geo 3,A,24 Hours,30000,26923,11209,11209000
Geo 3,B,24 Hours,30000,40636,17913,17913000
Geo 3,C,24 Hours,30000,38011,13817,13817000
Geo 3,D,24 Hours,30000,35201,17821,17821000
Geo 3,E,24 Hours,30000,26918,9046,9046000
Geo 4,A,24 Hours,2900,2350,664,664000
Geo 4,B,24 Hours,25600,2664,661,661000
Geo 4,C,24 Hours,30000,4645,6580,6580000
Geo 4,D,24 Hours,1000,1643,524,524000
Geo 4,E,24 Hours,600,76,64,64000
AF 5,A,24 Hours,120,12,1,1000
AF 5,B,24 Hours,120,10,0,0
AF 5,C,24 Hours,190,8,3,3000
AF 5,D,24 Hours,89,12,8,8000
AF 5,E,24 Hours,100000,1831,761,761000
AF 6,A,24 Hours,30000,245,22,22000
AF 6,B,24 Hours,30000,135,33,33000
AF 6,C,24 Hours,30000,206,38,38000
AF 6,D,24 Hours,100000,3581,888,888000
AF 6,E,24 Hours,30000,230,30,30000
AF 7,A,24 Hours,210,12,0,0
AF 7,B,24 Hours,190,10,3,3000
AF 7,C,24 Hours,190,11,1,1000
AF 7,D,24 Hours,400,16,1,1000
AF 7,E,24 Hours,60,12,0,0
AF 8,A,24 Hours,30000,20881,0,0
AF 8,B,24 Hours,30000,25858,3,3000
AF 8,C,24 Hours,30000,25885,1,1000
AF 8,D,24 Hours,30000,23475,2,2000
AF 8,E,24 Hours,30000,16832,0,0
Geo 1,Blank,24 Hours,0,11,2,2000
Geo 2,Blank,24 Hours,0,9,5,5000
Geo 3,Blank,24 Hours,0,9,0,0
Geo 4,Blank,24 Hours,0,11,2,2000
AF 5,Blank,24 Hours,0,9,1,1000
AF 6,Blank,24 Hours,0,11,3,3000
AF 7,Blank,24 Hours,0,13,0,0
AF 8,Blank,24 Hours,0,7,0,0
Geo 1,A,48 Hours,30000,94,79,79000
Geo 1,B,48 Hours,30000,23,69,69000
Geo 1,C,48 Hours,30000,64,62,62000
Geo 1,D,48 Hours,30000,142,97,97000
Geo 1,E,48 Hours,30000,48,77,77000
Geo 2,A,48 Hours,100000,11,107,107000
Geo 2,B,48 Hours,15,43,26,26000
Geo 2,C,48 Hours,100000,24,50,50000
Geo 2,D,48 Hours,100000,11,59,59000
Geo 2,E,48 Hours,100000,18,91,91000
Geo 3,A,48 Hours,30000,17,93,93000
Geo 3,B,48 Hours,30000,18,130,130000
Geo 3,C,48 Hours,30000,15,100,100000
Geo 3,D,48 Hours,30000,19,230,230000
Geo 3,E,48 Hours,30000,79,321,321000
Geo 4,A,48 Hours,0,40,510,510000
Geo 4,B,48 Hours,0,10,152,152000
Geo 4,C,48 Hours,15000,22,335,335000
Geo 4,D,48 Hours,30000,179,342,342000
Geo 4,E,48 Hours,0,15,124,124000
AF 5,A,48 Hours,100000,2749,2585,2585000
AF 5,B,48 Hours,100000,3852,3478,3478000
AF 5,C,48 Hours,100000,5396,6625,6625000
AF 5,D,48 Hours,100000,3636,4700,4700000
AF 5,E,48 Hours,100000,3841,2669,2669000
AF 6,A,48 Hours,100000,125,3908,3908000
AF 6,B,48 Hours,100000,284,4862,4862000
AF 6,C,48 Hours,100000,52,1768,1768000
AF 6,D,48 Hours,100000,1283,3249,3249000
AF 6,E,48 Hours,100000,951,4226,4226000
AF 7,A,48 Hours,9400,22,21,21000
AF 7,B,48 Hours,20500,33,29,29000
AF 7,C,48 Hours,300,15,13,13000
AF 7,D,48 Hours,2100,14,18,18000
AF 7,E,48 Hours,30000,120,94,94000
AF 8,A,48 Hours,150000,9825,5,5000
AF 8,B,48 Hours,256000,8881,2,2000
AF 8,C,48 Hours,30000,9736,0,0
