Milk ,,,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions 6h 12h x100 and  24h 48h x1000 
Geo 1,A,6 Hours,0,7,2,200
Geo 1,B,6 Hours,1,5,8,800
Geo 1,C,6 Hours,3,6,1,100
Geo 1,D,6 Hours,2,6,0,0
Geo 1,E,6 Hours,0,4,0,0
Geo 2,A,6 Hours,0,3,0,0
Geo 2,B,6 Hours,54,224,714,71400
Geo 2,C,6 Hours,88,109,382,38200
Geo 2,D,6 Hours,13,27,65,6500
Geo 2,E,6 Hours,1,4,6,600
Geo 3,A,6 Hours,0,5,8,800
Geo 3,B,6 Hours,0,4,3,300
Geo 3,C,6 Hours,0,5,1,100
Geo 3,D,6 Hours,0,6,1,100
Geo 3,E,6 Hours,0,5,5,500
Geo 4,A,6 Hours,0,3,4,400
Geo 4,B,6 Hours,0,3,8,800
Geo 4,C,6 Hours,0,4,0,0
Geo 4,D,6 Hours,0,3,0,0
Geo 4,E,6 Hours,0,3,2,200
AF 5,A,6 Hours,450,40839,227268,22726800
AF 5,B,6 Hours,450,10764,29750,2975000
AF 5,C,6 Hours,450,6826,34609,3460900
AF 5,D,6 Hours,450,45605,203089,20308900
AF 5,E,6 Hours,450,56438,219653,21965300
AF 6,A,6 Hours,450,7044,46719,4671900
AF 6,B,6 Hours,450,13757,69103,6910300
AF 6,C,6 Hours,450,5152,30948,3094800
AF 6,D,6 Hours,450,6292,33443,3344300
AF 6,E,6 Hours,450,24903,95380,9538000
AF 7,A,6 Hours,450,66660,184015,18401500
AF 7,B,6 Hours,450,93766,289625,28962500
AF 7,C,6 Hours,450,37772,348259,34825900
AF 7,D,6 Hours,450,32062,337889,33788900
AF 7,E,6 Hours,450,99968,335707,33570700
AF 8,A,6 Hours,450,15999,47618,4761800
AF 8,B,6 Hours,450,8400,25501,2550100
AF 8,C,6 Hours,450,16177,49593,4959300
AF 8,D,6 Hours,450,11301,28512,2851200
AF 8,E,6 Hours,450,20266,50614,5061400
Geo 1,Blank,6 Hours,0,6,0,0
Geo 2,Blank,6 Hours,0,3,0,0
Geo 3,Blank,6 Hours,0,5,12,1200
Geo 4,Blank,6 Hours,0,4,9,900
AF 5,Blank,6 Hours,0,58,0,0
AF 6,Blank,6 Hours,0,5,14,1400
AF 7,Blank,6 Hours,0,8,0,0
AF 8,Blank,6 Hours,0,4,1,100
Geo 1,A,12 Hours,450,640,2142,214200
Geo 1,B,12 Hours,450,1372,4256,425600
Geo 1,C,12 Hours,450,1660,5242,524200
Geo 1,D,12 Hours,450,2443,7377,737700
Geo 1,E,12 Hours,450,979,3879,387900
Geo 2,A,12 Hours,450,237439,591821,59182100
Geo 2,B,12 Hours,450,270173,572392,57239200
Geo 2,C,12 Hours,450,228667,541808,54180800
Geo 2,D,12 Hours,450,254264,668487,66848700
Geo 2,E,12 Hours,450,238551,624286,62428600
Geo 3,A,12 Hours,0,5,0,0
Geo 3,B,12 Hours,0,6,1,100
Geo 3,C,12 Hours,0,6,5,500
Geo 3,D,12 Hours,0,6,0,0
Geo 3,E,12 Hours,0,6,0,0
Geo 4,A,12 Hours,0,3,0,0
Geo 4,B,12 Hours,11,5,7,700
Geo 4,C,12 Hours,0,4,1,100
Geo 4,D,12 Hours,0,3,1,100
Geo 4,E,12 Hours,0,3,4,400
AF 5,A,12 Hours,450,36783,602773,60277300
AF 5,B,12 Hours,450,53915,609191,60919100
AF 5,C,12 Hours,450,40143,620576,62057600
AF 5,D,12 Hours,450,26559,616745,61674500
AF 5,E,12 Hours,450,52804,647044,64704400
AF 6,A,12 Hours,450,34210,45501,4550100
AF 6,B,12 Hours,450,49017,74765,7476500
AF 6,C,12 Hours,450,45290,54385,5438500
AF 6,D,12 Hours,450,44032,67426,6742600
AF 6,E,12 Hours,450,39986,68477,6847700
AF 7,A,12 Hours,450,72382,529133,52913300
AF 7,B,12 Hours,450,74173,500755,50075500
AF 7,C,12 Hours,450,77175,476247,47624700
AF 7,D,12 Hours,450,58330,444135,44413500
AF 7,E,12 Hours,450,62748,484013,48401300
AF 8,A,12 Hours,450,56717,648749,64874900
AF 8,B,12 Hours,450,53832,745630,74563000
AF 8,C,12 Hours,450,59772,751765,75176500
