,,Whipping Cream,,,,
Bac,Reps,Time,Plate Raw,Charm Raw,Attune Raw,Attune with Dilutions   x100 
Geo 1,A,12 Hours,100000,254,2042,204200
Geo 1,B,12 Hours,30000,40,263,26300
Geo 1,C,12 Hours,100000,1115,897,89700
Geo 1,D,12 Hours,100000,510,4022,402200
Geo 1,E,12 Hours,100000,265,1772,177200
Geo 2,A,12 Hours,1200,51,291,29100
Geo 2,B,12 Hours,2500,76,418,41800
Geo 2,C,12 Hours,1500,41,269,26900
Geo 2,D,12 Hours,6400,138,1078,107800
Geo 2,E,12 Hours,15000,655,5293,529300
Geo 3,A,12 Hours,1,3,2,200
Geo 3,B,12 Hours,30000,110,1760,176000
Geo 3,C,12 Hours,30000,133,3699,369900
Geo 3,D,12 Hours,30000,53,729,72900
Geo 3,E,12 Hours,30000,152,2004,200400
Geo 4,A,12 Hours,1,4,1,100
Geo 4,B,12 Hours,1,5,1,100
Geo 4,C,12 Hours,1,3,1,100
Geo 4,D,12 Hours,43,4,7,700
Geo 4,E,12 Hours,1,4,2,200
AF 5,A,12 Hours,300,4,2,200
AF 5,B,12 Hours,1800,5,7,700
AF 5,C,12 Hours,3800,8,17,1700
AF 5,D,12 Hours,400,3,3,300
AF 5,E,12 Hours,1000,4,8,800
AF 6,A,12 Hours,5400,22,9,900
AF 6,B,12 Hours,4500,29,8,800
AF 6,C,12 Hours,8200,23,12,1200
AF 6,D,12 Hours,10300,22,18,1800
AF 6,E,12 Hours,5700,16,11,1100
AF 7,A,12 Hours,30000,19,120,12000
AF 7,B,12 Hours,30000,16,99,9900
AF 7,C,12 Hours,30000,28,103,10300
AF 7,D,12 Hours,30000,30,128,12800
AF 7,E,12 Hours,30000,24,159,15900
AF 8,A,12 Hours,29100,7,160,16000
AF 8,B,12 Hours,15300,6,199,19900
AF 8,C,12 Hours,15900,9,194,19400
AF 8,D,12 Hours,18600,6,199,19900
AF 8,E,12 Hours,8400,7,233,23300
Geo 1,Blank,12 Hours,0,3,0,0
Geo 2,Blank,12 Hours,0,5,0,0
Geo 3,Blank,12 Hours,0,5,1,100
