Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Chocolate,Charm,12 Hours,0.8,1,1,1,1,0.8333,1,1,1,1,1
Chocolate,Charm,12 Hours,0.9,0.9833,1,1,0.9583,0.8333,0.9861,0.9907,0.9833,0.9694,0.9833
Chocolate,Charm,12 Hours,1,0.9833,1,1,0.9583,0.8333,0.9861,0.9907,0.9833,0.9694,0.9833
Chocolate,Charm,12 Hours,1.1,0.9833,1,1,0.9583,0.8333,0.9861,0.9907,0.9833,0.9694,0.9833
Chocolate,Charm,12 Hours,1.2,0.9667,1,1,0.9444,0.8333,0.9722,0.9792,0.9667,0.9539,0.9667
Chocolate,Charm,12 Hours,1.3,0.9167,1,1,0.9306,0.8333,0.9306,1,0.9167,1,0.9167
Chocolate,Charm,12 Hours,1.4,0.9167,1,1,0.9306,0.8333,0.9306,1,0.9167,1,0.9167
Chocolate,Charm,12 Hours,1.5,0.9167,1,1,0.9306,0.8333,0.9306,1,0.9167,1,0.9167
Chocolate,Charm,12 Hours,1.6,0.9167,1,1,0.9306,0.8333,0.9306,1,0.9167,1,0.9167
Chocolate,Charm,12 Hours,1.7,0.8167,1,1,0.8056,0.8333,0.8472,0.9221,0.8167,0.8757,0.8167
Chocolate,Charm,12 Hours,1.8,0.75,1,1,0.7917,0.8333,0.7917,1,0.75,1,0.75
Chocolate,Charm,12 Hours,1.9,0.75,1,1,0.7917,0.8333,0.7917,1,0.75,1,0.75
Chocolate,Charm,12 Hours,2,0.75,1,1,0.7917,0.8333,0.7917,1,0.75,1,0.75
Chocolate,Charm,12 Hours,2.1,0.6167,1,1,0.5764,0.8333,0.6806,0.8845,0.6167,0.7603,0.6167
Chocolate,Charm,12 Hours,2.2,0.5167,1,1,0.5472,0.8333,0.5972,0.8194,0.5167,0.7541,0.5167
Chocolate,Charm,12 Hours,2.3,0.4833,1,1,0.5417,0.8333,0.5694,0.9815,0.4833,0.9387,0.4833
Chocolate,Charm,12 Hours,2.4,0.4667,1,1,0.5278,0.8333,0.5556,0.9583,0.4667,0.9079,0.4667
Chocolate,Charm,12 Hours,2.5,0.4333,1,1,0.5167,0.8333,0.5278,0.8889,0.4333,0.8667,0.4333
Chocolate,Charm,12 Hours,2.6,0.4333,1,1,0.5167,0.8333,0.5278,0.8889,0.4333,0.8667,0.4333
Chocolate,Charm,12 Hours,2.7,0.4333,1,1,0.5167,0.8333,0.5278,0.8889,0.4333,0.8667,0.4333
Chocolate,Charm,12 Hours,2.8,0.4167,1,1,0.5139,0.8333,0.5139,1,0.4167,1,0.4167
Chocolate,Charm,12 Hours,2.9,0.3667,1,1,0.4167,0.8333,0.4722,0.9278,0.3667,0.8159,0.3667
