Bact,Time,log10_thresh,TP,FP,FN,TN,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J,Product,Test
Geo 1,12 Hours,0.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,0.9,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.2000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.4000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.7000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,1.9000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,12 Hours,2.1,4,0,1,1,0.8,1,1,0.5,0.8333333333333334,0.8333333333333334,0.888888888888889,0.8,0.6324555320336759,0.8,Chocolate,Charm
Geo 1,12 Hours,2.2,4,0,1,1,0.8,1,1,0.5,0.8333333333333334,0.8333333333333334,0.888888888888889,0.8,0.6324555320336759,0.8,Chocolate,Charm
Geo 1,12 Hours,2.3,4,0,1,1,0.8,1,1,0.5,0.8333333333333334,0.8333333333333334,0.888888888888889,0.8,0.6324555320336759,0.8,Chocolate,Charm
Geo 1,12 Hours,2.4000000000000004,3,0,2,1,0.6,1,1,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.7499999999999999,0.6,0.44721359549995793,0.6000000000000001,Chocolate,Charm
Geo 1,12 Hours,2.5,1,0,4,1,0.2,1,1,0.2,0.8333333333333334,0.3333333333333333,0.33333333333333337,0.2,0.2,0.19999999999999996,Chocolate,Charm
Geo 1,12 Hours,2.6,1,0,4,1,0.2,1,1,0.2,0.8333333333333334,0.3333333333333333,0.33333333333333337,0.2,0.2,0.19999999999999996,Chocolate,Charm
Geo 1,12 Hours,2.7,1,0,4,1,0.2,1,1,0.2,0.8333333333333334,0.3333333333333333,0.33333333333333337,0.2,0.2,0.19999999999999996,Chocolate,Charm
Geo 1,12 Hours,2.8,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,2.9000000000000004,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.1000000000000005,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.2,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.3,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.4000000000000004,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.5,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.6000000000000005,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.7,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.8,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,3.9000000000000004,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,4,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,4.1000000000000005,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,4.2,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,4.3,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,12 Hours,4.4,0,0,5,1,0,1,NA,0.16666666666666666,0.8333333333333334,0.16666666666666666,NA,0,NA,0,Chocolate,Charm
Geo 1,24 Hours,0.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,0.9,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.2000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.4000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.7000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,1.9000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.4000000000000004,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.7,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.8,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,2.9000000000000004,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.1000000000000005,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.3,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.4000000000000004,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.6000000000000005,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Chocolate,Charm
Geo 1,24 Hours,3.7,3,0,2,1,0.6,1,1,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.7499999999999999,0.6,0.44721359549995793,0.6000000000000001,Chocolate,Charm
Geo 1,24 Hours,3.8,3,0,2,1,0.6,1,1,0.3333333333333333,0.8333333333333334,0.6666666666666666,0.7499999999999999,0.6,0.44721359549995793,0.6000000000000001,Chocolate,Charm
Geo 1,24 Hours,3.9000000000000004,2,0,3,1,0.4,1,1,0.25,0.8333333333333334,0.5,0.5714285714285715,0.4,0.31622776601683794,0.3999999999999999,Chocolate,Charm
