Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Med Beverage,Charm,6 Hours,0.6,1,0,0.125,NA,0.125,0.125,0.5974,0.125,NA,0
Med Beverage,Charm,6 Hours,0.7,1,0.0208,0.125,1,0.125,0.1458,0.5974,0.125,NA,0
Med Beverage,Charm,6 Hours,0.8,0.8,0.125,0.1146,0.75,0.125,0.2083,0.4762,0.0833,-0.3162,-0.2
Med Beverage,Charm,6 Hours,0.9,0.7,0.4625,0.15,0.8929,0.125,0.4167,0.4524,0.075,0.2581,0.3
Med Beverage,Charm,6 Hours,1,0.5,0.7792,0.05,0.8958,0.125,0.6875,0.4,0.0417,0.3162,0.2
Med Beverage,Charm,6 Hours,1.1,0.5,0.8708,0.1,0.8958,0.125,0.7708,0.6667,0.0833,0.6325,0.4
Med Beverage,Charm,6 Hours,1.2,0,0.9583,0,0.875,0.125,0.8333,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.3,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.4,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.5,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.6,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.7,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.8,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,1.9,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.1,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.2,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.3,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.4,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.5,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.6,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.7,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.8,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,2.9,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
Med Beverage,Charm,6 Hours,3,0,1,NA,0.875,0.125,0.875,NA,0,NA,0
