Bact,Time,log10_thresh,TP,FP,FN,TN,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J,Product,Test
Geo 1,6 Hours,0.3,0,6,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.4,0,6,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.5,0,6,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.6000000000000001,0,6,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.7,0,4,0,2,NA,0.3333333333333333,0,1,0,0.3333333333333333,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.8,0,1,0,5,NA,0.8333333333333334,0,1,0,0.8333333333333334,NA,0,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,0.9000000000000001,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.1,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.2,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.3,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.4000000000000001,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.5000000000000002,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.6,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.7000000000000002,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.8,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,1.9000000000000001,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.1,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.2,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.3,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.4,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.5,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.6,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
Geo 1,6 Hours,2.7,0,0,0,6,NA,1,NA,1,0,1,NA,NA,NA,NA,UHT Milk,Charm
