Product,Test,Method,above_floor,Time,bg_floor_log10,criterion_value,Range_log10,Range_units,n_in_intersect,n_above_floor,n_total,no_range,problematic,best_achieved,valid
UHT Milk,Charm,Youden J,TRUE,6 Hours,1.34,1,no range above floor,—,3,5,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Youden J,TRUE,12 Hours,1.34,0.8571,1.40 – 2.80,2.5e+01 – 6.3e+02,7,7,8,NA,NA,NA,TRUE
UHT Milk,Charm,Youden J,TRUE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Youden J,TRUE,48 Hours,1.34,0.5714,1.40,2.5e+01,7,7,8,NA,NA,NA,TRUE
UHT Milk,Charm,Sensitivity-first,TRUE,6 Hours,1.34,1,no range above floor,—,3,5,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Sensitivity-first,TRUE,12 Hours,1.34,0.8571,1.40 – 2.80,2.5e+01 – 6.3e+02,7,7,8,NA,NA,NA,TRUE
UHT Milk,Charm,Sensitivity-first,TRUE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Sensitivity-first,TRUE,48 Hours,1.34,0.5714,1.40,2.5e+01,7,7,8,NA,NA,NA,TRUE
UHT Milk,Charm,Best Accuracy,TRUE,6 Hours,1.34,1,no range above floor,—,6,8,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Best Accuracy,TRUE,12 Hours,1.34,0.9792,1.40 – 2.80,2.5e+01 – 6.3e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Best Accuracy,TRUE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Best Accuracy,TRUE,48 Hours,1.34,0.6875,1.40,2.5e+01,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Youden J,FALSE,6 Hours,1.34,1,no range,—,3,5,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Youden J,FALSE,12 Hours,1.34,0.9429,no range,—,0,7,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
UHT Milk,Charm,Youden J,FALSE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Youden J,FALSE,48 Hours,1.34,1,no range,—,5,7,8,NA,"AF 6, AF 7",NA,FALSE
UHT Milk,Charm,Sensitivity-first,FALSE,6 Hours,1.34,1,no range,—,3,5,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Sensitivity-first,FALSE,12 Hours,1.34,1,no range,—,0,7,8,NA,"Geo 1, Geo 2, Geo 4, AF 5, AF 6, AF 7, AF 8",NA,FALSE
UHT Milk,Charm,Sensitivity-first,FALSE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Sensitivity-first,FALSE,48 Hours,1.34,1,no range,—,5,7,8,NA,"AF 6, AF 7",NA,FALSE
UHT Milk,Charm,Best Accuracy,FALSE,6 Hours,1.34,1,no range,—,6,8,8,NA,"Geo 2, AF 5",NA,FALSE
UHT Milk,Charm,Best Accuracy,FALSE,12 Hours,1.34,0.9792,1.40 – 2.80,2.5e+01 – 6.3e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Best Accuracy,FALSE,24 Hours,1.34,1,1.60 – 2.90,4.0e+01 – 7.9e+02,8,8,8,NA,NA,NA,TRUE
UHT Milk,Charm,Best Accuracy,FALSE,48 Hours,1.34,1,no range,—,6,8,8,NA,"AF 6, AF 7",NA,FALSE
UHT Milk,AttuneDilut,Youden J,TRUE,6 Hours,5.35,0.8,5.40 – 6.40,2.5e+05 – 2.5e+06,5,5,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,TRUE,12 Hours,5.35,0.8286,5.40 – 5.50,2.5e+05 – 3.2e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,TRUE,24 Hours,5.35,1,5.40 – 6.90,2.5e+05 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Youden J,TRUE,48 Hours,5.35,0.9429,5.40,2.5e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,TRUE,6 Hours,5.35,0.8,5.40 – 6.40,2.5e+05 – 2.5e+06,5,5,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,TRUE,12 Hours,5.35,0.8286,5.40 – 5.50,2.5e+05 – 3.2e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,TRUE,24 Hours,5.35,1,5.40 – 6.90,2.5e+05 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Sensitivity-first,TRUE,48 Hours,5.35,0.9429,5.40,2.5e+05,7,7,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,TRUE,6 Hours,5.35,0.9375,5.40 – 6.40,2.5e+05 – 2.5e+06,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,TRUE,12 Hours,5.35,0.9583,5.40 – 5.50,2.5e+05 – 3.2e+05,8,8,8,NA,NA,NA,TRUE
UHT Milk,AttuneDilut,Best Accuracy,TRUE,24 Hours,5.35,1,5.40 – 6.90,2.5e+05 – 7.9e+06,8,8,8,NA,NA,NA,TRUE
