Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Cream,Charm,6 Hours,0,1,0.1458,0.6667,1,0.5833,0.7292,0.8727,0.6667,NA,0
Cream,Charm,6 Hours,0.1,1,0.1458,0.6667,1,0.5833,0.7292,0.8727,0.6667,NA,0
Cream,Charm,6 Hours,0.2,1,0.1458,0.6667,1,0.5833,0.7292,0.8727,0.6667,NA,0
Cream,Charm,6 Hours,0.3,1,0.1458,0.6667,1,0.5833,0.7292,0.8727,0.6667,NA,0
Cream,Charm,6 Hours,0.4,0.5667,0.4583,0.6667,0.5,0.5833,0.625,0.6205,0.4286,-0.0662,-0.1
Cream,Charm,6 Hours,0.5,0.275,0.8542,0.7667,0.4714,0.5833,0.5417,0.4939,0.2119,0.2387,0.1083
Cream,Charm,6 Hours,0.6,0.275,0.8542,0.7667,0.4714,0.5833,0.5417,0.4939,0.2119,0.2387,0.1083
Cream,Charm,6 Hours,0.7,0.0333,1,1,0.4208,0.5833,0.4375,0.3333,0.0333,0.2,0.0333
Cream,Charm,6 Hours,0.8,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,0.9,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.1,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.2,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.3,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.4,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.5,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.6,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.7,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
Cream,Charm,6 Hours,1.8,0,1,NA,0.4167,0.5833,0.4167,NA,0,NA,0
