Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
Whipping Cream,Charm,12 Hours,0.3,1,0,0.7292,NA,0.7292,0.7292,0.8175,0.7292,NA,0
Whipping Cream,Charm,12 Hours,0.4,1,0,0.7292,NA,0.7292,0.7292,0.8175,0.7292,NA,0
Whipping Cream,Charm,12 Hours,0.5,0.975,0.4625,0.8125,0.9,0.7292,0.8125,0.8548,0.7875,0.693,0.4375
Whipping Cream,Charm,12 Hours,0.6,0.975,0.4625,0.8125,0.9,0.7292,0.8125,0.8548,0.7875,0.693,0.4375
Whipping Cream,Charm,12 Hours,0.7,0.775,1,1,0.8792,0.7292,0.8958,0.9048,0.775,0.8857,0.775
Whipping Cream,Charm,12 Hours,0.8,0.725,1,1,0.7958,0.7292,0.8542,0.869,0.725,0.8067,0.725
Whipping Cream,Charm,12 Hours,0.9,0.675,1,1,0.7792,0.7292,0.8125,0.8095,0.675,0.7714,0.675
Whipping Cream,Charm,12 Hours,1,0.625,1,1,0.7708,0.7292,0.7708,1,0.625,1,0.625
Whipping Cream,Charm,12 Hours,1.1,0.625,1,1,0.7708,0.7292,0.7708,1,0.625,1,0.625
Whipping Cream,Charm,12 Hours,1.2,0.625,1,1,0.7708,0.7292,0.7708,1,0.625,1,0.625
Whipping Cream,Charm,12 Hours,1.3,0.55,1,1,0.625,0.7292,0.7083,0.9278,0.55,0.8159,0.55
Whipping Cream,Charm,12 Hours,1.4,0.45,1,1,0.5771,0.7292,0.625,0.781,0.45,0.7032,0.45
Whipping Cream,Charm,12 Hours,1.5,0.375,1,1,0.5625,0.7292,0.5625,1,0.375,1,0.375
Whipping Cream,Charm,12 Hours,1.6,0.375,1,1,0.5625,0.7292,0.5625,1,0.375,1,0.375
Whipping Cream,Charm,12 Hours,1.7,0.325,1,1,0.4375,0.7292,0.5208,0.9259,0.325,0.755,0.325
Whipping Cream,Charm,12 Hours,1.8,0.2688,1,1,0.375,0.7292,0.4792,0.832,0.2688,0.5956,0.2688
Whipping Cream,Charm,12 Hours,1.9,0.2438,1,1,0.3646,0.7292,0.4583,0.7725,0.2438,0.5519,0.2438
Whipping Cream,Charm,12 Hours,2,0.2438,1,1,0.3646,0.7292,0.4583,0.7725,0.2438,0.5519,0.2438
Whipping Cream,Charm,12 Hours,2.1,0.2125,1,1,0.3438,0.7292,0.4375,0.709,0.2125,0.4829,0.2125
Whipping Cream,Charm,12 Hours,2.2,0.125,1,1,0.3167,0.7292,0.375,0.6111,0.125,0.4162,0.125
Whipping Cream,Charm,12 Hours,2.3,0.125,1,1,0.3167,0.7292,0.375,0.6111,0.125,0.4162,0.125
Whipping Cream,Charm,12 Hours,2.4,0.125,1,1,0.3167,0.7292,0.375,0.6111,0.125,0.4162,0.125
Whipping Cream,Charm,12 Hours,2.5,0.075,1,1,0.2854,0.7292,0.3333,0.4524,0.075,0.2581,0.075
Whipping Cream,Charm,12 Hours,2.6,0.075,1,1,0.2854,0.7292,0.3333,0.4524,0.075,0.2581,0.075
Whipping Cream,Charm,12 Hours,2.7,0.075,1,1,0.2854,0.7292,0.3333,0.4524,0.075,0.2581,0.075
Whipping Cream,Charm,12 Hours,2.8,0.05,1,1,0.2792,0.7292,0.3125,0.3333,0.05,0.2,0.05
Whipping Cream,Charm,12 Hours,2.9,0.025,1,1,0.275,0.7292,0.2917,0.3333,0.025,0.2,0.025
Whipping Cream,Charm,12 Hours,3,0.025,1,1,0.275,0.7292,0.2917,0.3333,0.025,0.2,0.025
Whipping Cream,Charm,12 Hours,3.1,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.2,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.3,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.4,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.5,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.6,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.7,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.8,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,3.9,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,4,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,4.1,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,4.2,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,4.3,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
Whipping Cream,Charm,12 Hours,4.4,0,1,NA,0.2708,0.7292,0.2708,NA,0,NA,0
