Bact,Time,log10_thresh,TP,FP,FN,TN,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J,Product,Test
Geo 1,12 Hours,-0.4,5,1,0,0,1,0,0.8333333333333334,NA,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.8333333333333334,NA,0,Whipping Cream,AttuneDilut
Geo 1,12 Hours,-0.30000000000000004,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,-0.2,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,-0.09999999999999998,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.09999999999999998,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.20000000000000007,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.30000000000000004,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.4,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.7000000000000001,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.8000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,0.9,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.1,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.2000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.3000000000000003,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.4,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.5,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.6,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.7000000000000002,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
Geo 1,12 Hours,1.8000000000000003,5,0,0,1,1,1,1,1,0.8333333333333334,1,1,1,1,1,Whipping Cream,AttuneDilut
