Product,Test,Time,log10_thresh,Sensitivity,Specificity,PPV,NPV,Prevalence,Accuracy,F1,Jaccard,MCC,Youden_J
UHT Milk,Charm,6 Hours,0.3,1,0,0.4792,NA,0.4792,0.4792,0.8606,0.4792,NA,0
UHT Milk,Charm,6 Hours,0.4,1,0,0.4792,NA,0.4792,0.4792,0.8606,0.4792,NA,0
UHT Milk,Charm,6 Hours,0.5,1,0.1667,0.5104,1,0.4792,0.6042,0.8987,0.5104,0.7071,0.1333
UHT Milk,Charm,6 Hours,0.6,1,0.1667,0.5104,1,0.4792,0.6042,0.8987,0.5104,0.7071,0.1333
UHT Milk,Charm,6 Hours,0.7,1,0.6458,0.6667,1,0.4792,0.8542,0.9636,0.6667,1,0.6
UHT Milk,Charm,6 Hours,0.8,1,0.7292,0.7778,1,0.4792,0.9375,0.9636,0.7778,1,0.6
UHT Milk,Charm,6 Hours,0.9,1,0.75,0.9333,1,0.4792,0.9583,0.9636,0.9333,1,0.6
UHT Milk,Charm,6 Hours,1,1,0.875,0.9667,1,0.4792,0.9792,0.9818,0.9667,1,0.8
UHT Milk,Charm,6 Hours,1.1,1,0.875,0.9667,1,0.4792,0.9792,0.9818,0.9667,1,0.8
UHT Milk,Charm,6 Hours,1.2,1,0.875,0.9667,1,0.4792,0.9792,0.9818,0.9667,1,0.8
UHT Milk,Charm,6 Hours,1.3,1,0.875,0.9667,1,0.4792,0.9792,0.9818,0.9667,1,0.8
UHT Milk,Charm,6 Hours,1.4,1,0.875,0.9667,1,0.4792,0.9792,0.9818,0.9667,1,0.8
UHT Milk,Charm,6 Hours,1.5,0.9333,0.875,0.9667,0.9643,0.4792,0.9583,0.9418,0.9,0.9268,0.7333
UHT Milk,Charm,6 Hours,1.6,0.9333,0.875,0.9667,0.9643,0.4792,0.9583,0.9418,0.9,0.9268,0.7333
UHT Milk,Charm,6 Hours,1.7,0.9333,0.875,0.9667,0.9643,0.4792,0.9583,0.9418,0.9,0.9268,0.7333
UHT Milk,Charm,6 Hours,1.8,0.9333,1,1,0.9688,0.4792,0.9792,0.96,0.9333,0.9414,0.9333
UHT Milk,Charm,6 Hours,1.9,0.9333,1,1,0.9688,0.4792,0.9792,0.96,0.9333,0.9414,0.9333
UHT Milk,Charm,6 Hours,2,0.9333,1,1,0.9688,0.4792,0.9792,0.96,0.9333,0.9414,0.9333
UHT Milk,Charm,6 Hours,2.1,0.8667,1,1,0.95,0.4792,0.9583,0.9,0.8667,0.8894,0.8667
UHT Milk,Charm,6 Hours,2.2,0.8667,1,1,0.95,0.4792,0.9583,0.9,0.8667,0.8894,0.8667
UHT Milk,Charm,6 Hours,2.3,0.8667,1,1,0.95,0.4792,0.9583,0.9,0.8667,0.8894,0.8667
UHT Milk,Charm,6 Hours,2.4,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,2.5,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,2.6,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,2.7,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,2.8,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,2.9,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.1,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.2,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.3,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.4,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.5,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.6,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.7,0.8,1,1,0.9375,0.4792,0.9375,1,0.8,1,0.8
UHT Milk,Charm,6 Hours,3.8,0.72,1,1,0.8542,0.4792,0.8958,0.9375,0.72,0.8618,0.72
UHT Milk,Charm,6 Hours,3.9,0.64,1,1,0.7812,0.4792,0.8542,0.8651,0.64,0.7372,0.64
UHT Milk,Charm,6 Hours,4,0.6,1,1,0.7188,0.4792,0.8333,0.8373,0.6,0.6453,0.6
UHT Milk,Charm,6 Hours,4.1,0.52,1,1,0.6771,0.4792,0.7917,0.7679,0.52,0.5527,0.52
UHT Milk,Charm,6 Hours,4.2,0.48,1,1,0.6708,0.4792,0.7708,0.7083,0.48,0.5236,0.48
UHT Milk,Charm,6 Hours,4.3,0.4,1,1,0.6542,0.4792,0.7292,0.6042,0.4,0.4618,0.4
UHT Milk,Charm,6 Hours,4.4,0.32,1,1,0.6458,0.4792,0.6875,0.875,0.32,0.7236,0.32
UHT Milk,Charm,6 Hours,4.5,0.32,1,1,0.6458,0.4792,0.6875,0.875,0.32,0.7236,0.32
UHT Milk,Charm,6 Hours,4.6,0.24,1,1,0.5625,0.4792,0.6458,0.75,0.24,0.4472,0.24
UHT Milk,Charm,6 Hours,4.7,0.16,1,1,0.5458,0.4792,0.6042,0.5417,0.16,0.3236,0.16
UHT Milk,Charm,6 Hours,4.8,0.12,1,1,0.5417,0.4792,0.5833,0.75,0.12,0.4472,0.12
UHT Milk,Charm,6 Hours,4.9,0.08,1,1,0.5312,0.4792,0.5625,0.5714,0.08,0.3162,0.08
UHT Milk,Charm,6 Hours,5,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,6 Hours,5.1,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,6 Hours,5.2,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,6 Hours,5.3,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,6 Hours,5.4,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,6 Hours,5.5,0,1,NA,0.5208,0.4792,0.5208,NA,0,NA,0
UHT Milk,Charm,12 Hours,0.3,1,0,0.6458,NA,0.6458,0.6458,0.82,0.6458,NA,0
UHT Milk,Charm,12 Hours,0.4,1,0,0.6458,NA,0.6458,0.6458,0.82,0.6458,NA,0
UHT Milk,Charm,12 Hours,0.5,1,0.075,0.6667,1,0.6458,0.7083,0.8506,0.6667,0.4472,0.0857
UHT Milk,Charm,12 Hours,0.6,1,0.075,0.6667,1,0.6458,0.7083,0.8506,0.6667,0.4472,0.0857
UHT Milk,Charm,12 Hours,0.7,0.8571,0.5208,0.7857,0.9667,0.6458,0.8125,0.9545,0.6875,1,0.4286
UHT Milk,Charm,12 Hours,0.8,0.8571,0.7292,0.8095,0.9722,0.6458,0.9167,0.9697,0.7083,1,0.5714
UHT Milk,Charm,12 Hours,0.9,0.8571,0.875,0.9722,0.9762,0.6458,0.9583,0.9848,0.8333,1,0.7143
UHT Milk,Charm,12 Hours,1,0.8571,0.875,0.9722,0.9762,0.6458,0.9583,0.9848,0.8333,1,0.7143
