Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
UHT Milk,AttuneDilut_adj,5.4,Geobacillus,>10,13,13,1,0.75,1,13,1,0.75,1,0,-0.23,0.23,FALSE
UHT Milk,AttuneDilut_adj,5.4,Geobacillus,0-10,7,0,0,0,0.41,0,0,0,0.41,0,-0.35,0.35,FALSE
UHT Milk,AttuneDilut_adj,5.4,Geobacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
UHT Milk,AttuneDilut_adj,5.4,Anoxybacillus,>10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
UHT Milk,AttuneDilut_adj,5.4,Anoxybacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
Cream,AttuneDilut_adj,4.2,Geobacillus,>10,15,12,0.8,0.52,0.96,15,1,0.78,1,-0.2,-0.45,0.04,FALSE
Cream,AttuneDilut_adj,4.2,Geobacillus,0-10,5,4,0.8,0.28,0.99,0,0,0,0.52,0.8,0.07,0.99,TRUE
Cream,AttuneDilut_adj,4.2,Geobacillus,0,16,7,0.44,0.2,0.7,0,0,0,0.21,0.44,0.15,0.67,TRUE
Cream,AttuneDilut_adj,4.2,Anoxybacillus,>10,17,17,1,0.8,1,17,1,0.8,1,0,-0.18,0.18,FALSE
Cream,AttuneDilut_adj,4.2,Anoxybacillus,0-10,3,1,0.33,0.01,0.91,0,0,0,0.71,0.33,-0.45,0.91,FALSE
Cream,AttuneDilut_adj,4.2,Anoxybacillus,0,16,8,0.5,0.25,0.75,0,0,0,0.21,0.5,0.21,0.72,TRUE
Whipping Cream,AttuneDilut_adj,3,Geobacillus,>10,16,16,1,0.79,1,16,1,0.79,1,0,-0.19,0.19,FALSE
Whipping Cream,AttuneDilut_adj,3,Geobacillus,0-10,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,AttuneDilut_adj,3,Geobacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
Whipping Cream,AttuneDilut_adj,3,Anoxybacillus,>10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
Whipping Cream,AttuneDilut_adj,3,Anoxybacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
Med Beverage,AttuneDilut_adj,4,Geobacillus,>10,19,19,1,0.82,1,19,1,0.82,1,0,-0.17,0.17,FALSE
Med Beverage,AttuneDilut_adj,4,Geobacillus,0-10,1,0,0,0,0.98,0,0,0,0.98,0,-0.98,0.98,FALSE
Med Beverage,AttuneDilut_adj,4,Geobacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
Med Beverage,AttuneDilut_adj,4,Anoxybacillus,>10,20,6,0.3,0.12,0.54,20,1,0.83,1,-0.7,-0.85,-0.43,TRUE
Med Beverage,AttuneDilut_adj,4,Anoxybacillus,0,16,0,0,0,0.21,0,0,0,0.21,0,-0.19,0.19,FALSE
Chocolate,AttuneDilut_adj,4.7,Geobacillus,>10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
Chocolate,AttuneDilut_adj,4.7,Geobacillus,0,12,0,0,0,0.26,0,0,0,0.26,0,-0.24,0.24,FALSE
Chocolate,AttuneDilut_adj,4.7,Anoxybacillus,>10,30,30,1,0.88,1,30,1,0.88,1,0,-0.11,0.11,FALSE
Chocolate,AttuneDilut_adj,4.7,Anoxybacillus,0,18,0,0,0,0.19,0,0,0,0.19,0,-0.18,0.18,FALSE
Chocolate,AttuneDilut_adj,4.7,B. licheniformis,>10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,AttuneDilut_adj,4.7,B. licheniformis,0,6,0,0,0,0.46,0,0,0,0.46,0,-0.39,0.39,FALSE
