Product,Test,Threshold_log10,Isolate,Spike_level,N,X_test,POD_test,CI_test_lo,CI_test_hi,X_ref,POD_ref,CI_ref_lo,CI_ref_hi,dPOD,dPOD_lo,dPOD_hi,sig
UHT Milk,Charm_adj,2.4771212547196626,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
UHT Milk,Charm_adj,2.4771212547196626,Geobacillus,0-10,15,8,0.53,0.27,0.79,8,0.53,0.27,0.79,0,-0.32,0.32,FALSE
UHT Milk,Charm_adj,2.4771212547196626,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
UHT Milk,Charm_adj,2.4771212547196626,Anoxybacillus,0-10,20,20,1,0.83,1,20,1,0.83,1,0,-0.16,0.16,FALSE
UHT Milk,Charm_adj,2.4771212547196626,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Cream,Charm_adj,2.4771212547196626,Geobacillus,>10,5,0,0,0,0.52,5,1,0.48,1,-1,-1,-0.26,TRUE
Cream,Charm_adj,2.4771212547196626,Geobacillus,0-10,15,0,0,0,0.22,10,0.67,0.38,0.88,-0.67,-0.85,-0.34,TRUE
Cream,Charm_adj,2.4771212547196626,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Cream,Charm_adj,2.4771212547196626,Anoxybacillus,0-10,20,0,0,0,0.17,17,0.85,0.62,0.97,-0.85,-0.95,-0.58,TRUE
Cream,Charm_adj,2.4771212547196626,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,Charm_adj,2.4771212547196626,Geobacillus,>10,5,4,0.8,0.28,0.99,5,1,0.48,1,-0.2,-0.72,0.36,FALSE
Whipping Cream,Charm_adj,2.4771212547196626,Geobacillus,0-10,15,4,0.27,0.08,0.55,11,0.73,0.45,0.92,-0.47,-0.69,-0.11,TRUE
Whipping Cream,Charm_adj,2.4771212547196626,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Whipping Cream,Charm_adj,2.4771212547196626,Anoxybacillus,0-10,20,0,0,0,0.17,20,1,0.83,1,-1,-1,-0.77,TRUE
Whipping Cream,Charm_adj,2.4771212547196626,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Med Beverage,Charm_adj,2.4771212547196626,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Med Beverage,Charm_adj,2.4771212547196626,Geobacillus,0-10,15,13,0.87,0.6,0.98,14,0.93,0.68,1,-0.07,-0.32,0.18,FALSE
Med Beverage,Charm_adj,2.4771212547196626,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Med Beverage,Charm_adj,2.4771212547196626,Anoxybacillus,0-10,20,7,0.35,0.15,0.59,20,1,0.83,1,-0.65,-0.82,-0.38,TRUE
Med Beverage,Charm_adj,2.4771212547196626,Anoxybacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Chocolate,Charm_adj,2.4771212547196626,Geobacillus,>10,5,5,1,0.48,1,5,1,0.48,1,0,-0.52,0.52,FALSE
Chocolate,Charm_adj,2.4771212547196626,Geobacillus,0-10,15,15,1,0.78,1,15,1,0.78,1,0,-0.2,0.2,FALSE
Chocolate,Charm_adj,2.4771212547196626,Geobacillus,=0,4,0,0,0,0.6,0,0,0,0.6,0,-0.6,0.6,FALSE
Chocolate,Charm_adj,2.4771212547196626,Anoxybacillus,>10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.4771212547196626,Anoxybacillus,0-10,20,11,0.55,0.32,0.77,20,1,0.83,1,-0.45,-0.66,-0.2,TRUE
Chocolate,Charm_adj,2.4771212547196626,Anoxybacillus,=0,6,0,0,0,0.46,0,0,0,0.46,0,-0.39,0.39,FALSE
Chocolate,Charm_adj,2.4771212547196626,B. licheniformis,0-10,10,10,1,0.69,1,10,1,0.69,1,0,-0.28,0.28,FALSE
Chocolate,Charm_adj,2.4771212547196626,B. licheniformis,=0,2,0,0,0,0.84,0,0,0,0.84,0,-0.84,0.84,FALSE
